Type,Classification,Species,Phenology,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
Plant,Plant,Willow,Buds breaking,4/8,-,-,-,-,-,-,-,3/8,-,-,-,-,
Plant,Plant,Willow,Shedding pollen,-,-,-,-,4/8,-,-,-,-,-,-,-,-,
Plant,Plant,Willow,Catkins expanding,-,-,-,-,-,-,-,4/3,-,-,-,-,-,
Animal,Bird,Willow flycatcher,First observation,-,-,-,-,-,-,-,-,-,-,5/29,-,-,
Plant,Plant,Winter aconite,First observation,-,-,-,-,-,-,-,3/21,-,-,-,-,-,
Plant,Plant,Winter aconite,Blooming,-,-,3/15,-,-,-,-,-,-,3/25,-,-,-,
Animal,Bird,Winter wren,First observation,-,-,-,-,-,-,-,-,-,-,4/16,-,-,
Plant,Plant,Witch hazel,Blooming,-,-,-,-,-,-,-,-,3/8,-,-,2/27,2/4,
Animal,Amphibian,Wood frog,First observation,-,-,-,-,-,-,-,-,3/20,4/12,-,3/9,-,
Plant,Plant,Wood strawberry,First observation,4/30,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Wood thrush,First observation,-,-,-,-,-,-,-,-,-,5/2,5/8,-,-,
Animal,Bird,Wren,Building nest,5/15,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Yellow hairy violet,First observation,4/18,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Yellow rumped warbler (Myrtle warbler),First observation,-,-,-,-,-,-,-,-,-,4/23,4/16,4/9,-,
Animal,Reptile,Yellow spotted salamander,First observation,4/13,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Yellow warbler,First observation,-,-,-,-,-,-,-,-,-,4/30,5/4,-,-,
