Type,Classification,Species,Phenology,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
Plant,Plant,Coltsfoot,Blooming,-,-,-,-,-,-,-,-,-,4/12,-,-,4/12,
Animal,Bird,Common merganser,First observation,-,4/2,-,-,-,-,-,-,-,4/17,3/28,3/19,-,
Animal,Bird,Common yellowthroat,First observation,-,-,-,-,-,-,-,-,-,5/14,5/12,-,-,
Plant,Plant,Cornus canadensis,Blooming,-,-,-,-,-,-,-,-,3/24,-,-,-,-,
Plant,Plant,Cornus mas,First observation,-,-,-,-,4/2,-,-,-,-,-,-,-,-,
Plant,Plant,Cornus mas,Buds breaking,-,-,-,-,-,-,-,-,-,3/25,-,-,-,
Plant,Plant,Cornus mas,Blooming,4/10,4/12,4/4,3/20,-,4/20,-,-,-,-,-,3/30,4/3,
Plant,Plant,Cottonwood,Catkins expanding,3/31,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Cowbirds,First observation,-,-,-,-,-,-,-,-,-,-,4/22,-,-,
Animal,Dog,Coyote,Crying,-,-,-,9/25,-,-,-,-,-,-,-,-,-,
Plant,Plant,Crabapple,Blooming,-,-,-,-,-,-,5/7,-,-,-,-,-,-,
Animal,Insect,Cricket,First observation,-,-,-,4/4,-,-,-,-,-,-,-,-,-,
Plant,Plant,Crocus,Blooming,-,3/7,2/28,2/19,2/27,3/3,3/22,3/21,3/6,3/17,-,2/27,3/22,
Plant,Plant,Crocus,First observation,3/7,-,3/14,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Crow,First observation,-,-,4/14,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Cypress spurge,First observation,4/27,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Daffodil H.,First observation,-,-,-,-,4/7,-,-,4/10,4/4,4/12,-,-,-,
Plant,Plant,Daffodil H.,Buds coming up,-,-,-,-,-,-,-,-,-,-,-,3/29,-,
Plant,Plant,Daffodil H.,Blooming,-,4/2,-,-,-,4/20,-,-,-,-,-,3/29,-,
Plant,Plant,Daisy fleabane,First observation,5/15,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Dandelion,First observation,-,4/2,-,10/16,-,-,-,-,-,4/3,-,-,-,
Plant,Plant,Dandelion,Blooming,-,-,3/31,-,4/1,-,-,4/2,-,-,-,4/7,-,
Plant,Plant,Daylily,First observation,4/8,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Cervidae,Deer,First observation,5/6,-,4/4,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Dog violet,Blooming,-,-,-,-,-,-,-,-,-,-,-,4/10,-,
Plant,Plant,Dogwood,Blooming,-,-,-,-,-,-,-,-,-,-,4/10,3/19,-,
Animal,Bird,Downy peckers,First observation,-,-,-,-,-,-,-,-,-,-,5/6,-,-,
Animal,Bird,Ducks,First observation,-,3/20,3/30,-,-,-,4/2,4/7,-,-,-,-,-,*
Plant,Plant,Dutchman's breeches,First observation,4/18,-,4/24,-,-,-,4/18,4/19,-,-,-,-,-,
Plant,Plant,Dwarf ginseng,First observation,4/18,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Insect,Earthworm,First observation,-,4/4,-,-,-,-,-,-,3/16,-,-,-,-,
Animal,Bird,Eastern meadowlark,First observation,-,-,-,-,-,-,-,-,-,5/2,-,-,-,
Plant,Plant,Elderberry,Buds breaking,3/28,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Elm,Blooming,4/4,4/15,4/4,-,-,4/20,-,4/19,-,-,-,3/30,-,
Animal,Bird,Evening grosbeak,First observation,3/27,-,-,-,-,-,-,-,-,4/26,-,-,-,
Animal,Bird,Field sparrow,First observation,-,-,-,-,-,-,-,-,-,4/26,-,-,-,
Plant,Plant,Forget me not (Scorpion grasses),First observation,5/15,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Forsythia,Blooming,4/3,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Animal,Fox,First observation,-,-,-,-,6/2,-,-,5/7,-,-,-,-,-,
Animal,Bird,Fox sparrow,First observation,-,-,-,-,-,-,-,-,-,-,4/13,-,-,
Animal,Amphibian,Frog,First observation,-,-,4/17,4/4,-,-,-,-,-,-,-,-,-,
Weather,Ice,Frost,First observation,-,-,-,-,-,-,-,-,-,10/2,-,-,-,
Animal,Bird,Geese/goose,Flying north,5/24,-,-,-,-,-,-,-,-,-,-,3/17,-,
Animal,Insect,Giant water bugs,First observation,4/11,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Gill over the ground,Blooming,-,-,-,-,-,-,-,-,-,4/22,-,-,-,
Plant,Plant,Golden Alexanders (Zizia aurea ),First observation,6/3,-,-,-,-,-,-,-,-,-,-,-,-,
